                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.53305,                 0.5346,                0.87773,                0.81918,                0.99324,                 0.8748,                0.80038,                0.44652,                0.40294,                0.84484,              0.0087922,              0.0087922,              0.0087922
                    124,                0.53212,                0.53191,                0.87932,                0.81025,                0.98569,                0.87337,                0.79536,                0.45041,                0.41958,                0.84851,              0.0087823,              0.0087823,              0.0087823
                    125,                0.53707,                0.54101,                0.88449,                0.81737,                0.99324,                0.85503,                0.77765,                0.45114,                0.40303,                0.84667,              0.0087724,              0.0087724,              0.0087724
                    126,                0.54418,                0.56234,                0.88505,                0.81517,                0.98982,                0.85837,                0.79118,                0.44512,                0.40435,                0.84457,              0.0087625,              0.0087625,              0.0087625
                    127,                0.52494,                0.52233,                0.87405,                0.81681,                0.99324,                0.86804,                0.78568,                 0.4498,                0.40034,                0.84626,              0.0087526,              0.0087526,              0.0087526
                    128,                0.53561,                0.53742,                0.88583,                 0.8186,                0.99324,                0.88079,                0.80982,                0.44294,                0.39682,                0.84426,              0.0087427,              0.0087427,              0.0087427
                    129,                0.53589,                0.54925,                0.88206,                0.81929,                0.99324,                0.88068,                0.80185,                0.44515,                0.39798,                0.84359,              0.0087328,              0.0087328,              0.0087328
                    130,                0.53371,                0.53766,                0.88611,                0.81546,                0.99064,                0.87843,                0.80497,                0.43818,                0.40042,                0.84211,              0.0087229,              0.0087229,              0.0087229
                    131,                0.52982,                0.53776,                0.88271,                0.81263,                0.98869,                0.86913,                0.79608,                0.44263,                0.40751,                0.84472,               0.008713,               0.008713,               0.008713
                    132,                0.53252,                0.53158,                0.88685,                0.81876,                0.99017,                0.85621,                0.78602,                0.44146,                0.39707,                0.84173,              0.0087031,              0.0087031,              0.0087031
                    133,                0.55161,                0.54103,                0.88938,                0.81345,                0.99313,                0.85522,                0.78156,                0.44717,                0.40674,                0.84448,              0.0086932,              0.0086932,              0.0086932
                    134,                0.53925,                0.55147,                 0.8861,                0.81566,                0.99232,                 0.8527,                0.78524,                0.44409,                0.39975,                0.84252,              0.0086833,              0.0086833,              0.0086833
                    135,                0.53475,                0.53876,                0.88368,                0.81138,                0.99324,                0.84294,                0.77636,                0.44284,                0.40219,                0.84386,              0.0086734,              0.0086734,              0.0086734
                    136,                0.52685,                0.53048,                0.87865,                0.81898,                0.99101,                0.86563,                0.78921,                 0.4495,                0.39296,                 0.8495,              0.0086635,              0.0086635,              0.0086635
                    137,                0.52818,                0.53451,                0.88238,                0.81731,                0.99324,                 0.8576,                0.78101,                0.45842,                0.39948,                0.85076,              0.0086536,              0.0086536,              0.0086536
                    138,                0.54204,                0.52953,                0.88422,                0.80788,                0.99226,                0.84518,                0.77663,                0.44436,                0.40618,                0.84485,              0.0086437,              0.0086437,              0.0086437
                    139,                0.54279,                0.54375,                 0.8902,                0.81056,                0.99324,                0.84429,                 0.7773,                0.44814,                0.40275,                0.84698,              0.0086338,              0.0086338,              0.0086338
                    140,                 0.5368,                0.54405,                0.89136,                  0.814,                 0.9907,                0.85194,                0.77794,                0.44263,                0.40009,                0.84573,              0.0086239,              0.0086239,              0.0086239
                    141,                0.53427,                0.53875,                0.88272,                0.81837,                0.99243,                0.86335,                0.78998,                0.45057,                0.39645,                0.84901,               0.008614,               0.008614,               0.008614
                    142,                0.52791,                0.54568,                0.87745,                 0.8093,                0.98903,                0.85976,                0.78314,                0.45822,                0.41623,                0.84782,              0.0086041,              0.0086041,              0.0086041
                    143,                 0.5274,                0.52371,                 0.8789,                0.81739,                0.99123,                0.84865,                0.78091,                0.44334,                0.40617,                 0.8448,              0.0085942,              0.0085942,              0.0085942
                    144,                0.53696,                0.53375,                0.88419,                  0.814,                0.99308,                0.87029,                0.79732,                0.44236,                0.40312,                0.84273,              0.0085843,              0.0085843,              0.0085843
                    145,                0.53525,                0.53017,                0.88175,                0.81803,                0.99113,                0.88082,                0.81027,                0.44104,                0.39795,                0.84468,              0.0085744,              0.0085744,              0.0085744
                    146,                0.52614,                 0.5369,                0.88126,                0.81569,                0.99023,                0.86785,                0.79551,                0.43712,                0.39253,                0.84268,              0.0085645,              0.0085645,              0.0085645
                    147,                0.53771,                 0.5481,                 0.8942,                0.81589,                0.98947,                 0.8661,                0.79014,                0.44563,                0.39789,                0.84709,              0.0085546,              0.0085546,              0.0085546
                    148,                0.51985,                0.53377,                0.87992,                0.81661,                0.99023,                0.86144,                0.78942,                0.43417,                0.39298,                 0.8437,              0.0085447,              0.0085447,              0.0085447
                    149,                0.53105,                0.53086,                0.88552,                0.81839,                0.99023,                0.85133,                0.77865,                0.43946,                0.40004,                0.84341,              0.0085348,              0.0085348,              0.0085348
                    150,                0.52712,                0.51135,                0.87936,                0.81696,                 0.9908,                 0.8609,                0.78854,                0.44761,                0.39127,                0.84789,              0.0085249,              0.0085249,              0.0085249
                    151,                0.54318,                0.54381,                0.89052,                0.80658,                0.99127,                0.84962,                0.77667,                0.43887,                0.40148,                0.84431,               0.008515,               0.008515,               0.008515
                    152,                0.52117,                0.51231,                0.87623,                0.81799,                0.99023,                0.85778,                0.78656,                0.43271,                0.38968,                0.84026,              0.0085051,              0.0085051,              0.0085051
                    153,                 0.5344,                0.53692,                0.88031,                0.81895,                0.99316,                0.85423,                0.78343,                0.45254,                0.39302,                0.84649,              0.0084952,              0.0084952,              0.0084952
                    154,                0.52603,                0.51913,                0.88005,                0.81892,                0.99324,                0.85412,                0.78379,                0.43627,                0.39187,                 0.8438,              0.0084853,              0.0084853,              0.0084853
                    155,                0.52178,                0.51188,                0.87367,                0.81642,                0.99023,                0.84045,                 0.7724,                0.44216,                0.39256,                0.84715,              0.0084754,              0.0084754,              0.0084754
                    156,                0.51763,                0.51595,                0.87231,                0.81717,                0.99324,                0.83883,                0.77064,                0.43585,                0.39664,                 0.8433,              0.0084655,              0.0084655,              0.0084655
                    157,                0.52421,                0.51976,                0.87808,                0.81546,                0.99028,                 0.8635,                0.79409,                0.43676,                0.38765,                 0.8453,              0.0084556,              0.0084556,              0.0084556
                    158,                0.51473,                0.51009,                 0.8724,                0.81895,                0.98799,                0.85356,                0.78237,                0.44489,                 0.3849,                0.84753,              0.0084457,              0.0084457,              0.0084457
                    159,                0.51963,                0.52117,                0.88228,                0.81888,                 0.9924,                0.84396,                0.77625,                 0.4264,                 0.3887,                0.84304,              0.0084358,              0.0084358,              0.0084358
                    160,                0.52007,                0.52833,                0.88145,                0.81747,                0.99281,                0.85765,                0.78657,                0.44083,                0.39941,                0.84544,              0.0084259,              0.0084259,              0.0084259
                    161,                0.52895,                0.53308,                0.88528,                 0.8211,                0.99208,                0.85156,                0.78556,                0.43458,                0.38227,                0.84412,               0.008416,               0.008416,               0.008416
                    162,                0.51982,                0.51716,                0.87652,                0.80923,                0.99087,                0.86764,                0.80205,                0.43229,                0.39378,                0.84287,              0.0084061,              0.0084061,              0.0084061
                    163,                0.52623,                0.54346,                0.88292,                0.81865,                0.99324,                0.85767,                0.78964,                0.43616,                0.38086,                0.84532,              0.0083962,              0.0083962,              0.0083962
                    164,                0.51834,                0.52835,                0.88025,                0.81458,                0.99121,                0.85859,                0.78886,                0.44151,                0.39065,                 0.8473,              0.0083863,              0.0083863,              0.0083863
                    165,                0.52305,                0.53472,                 0.8775,                 0.8142,                0.98641,                0.85152,                0.78618,                0.43856,                0.40122,                0.84453,              0.0083764,              0.0083764,              0.0083764
                    166,                0.52015,                0.52977,                0.87763,                0.81817,                0.99324,                0.84657,                0.77538,                0.44786,                0.39595,                 0.8455,              0.0083665,              0.0083665,              0.0083665
                    167,                0.52222,                0.50878,                0.88529,                0.81593,                0.99324,                0.84856,                0.78024,                0.43848,                0.39494,                0.84493,              0.0083566,              0.0083566,              0.0083566
                    168,                0.51248,                0.50992,                0.87159,                0.81652,                0.99324,                0.85032,                0.78201,                 0.4421,                0.39764,                0.84569,              0.0083467,              0.0083467,              0.0083467
                    169,                0.52378,                 0.5296,                0.88097,                0.81272,                0.99324,                0.85303,                 0.7867,                0.43608,                0.39723,                0.84404,              0.0083368,              0.0083368,              0.0083368
                    170,                0.52116,                0.51843,                 0.8767,                0.81947,                0.99254,                0.84955,                0.77885,                0.44108,                0.39062,                0.84508,              0.0083269,              0.0083269,              0.0083269
                    171,                0.50908,                0.49865,                0.87766,                0.82098,                0.99324,                0.85423,                 0.7811,                0.43996,                0.38515,                0.84604,               0.008317,               0.008317,               0.008317
                    172,                0.51808,                0.52672,                0.87574,                0.81957,                0.99023,                0.84227,                0.77001,                 0.4374,                0.39739,                0.84496,              0.0083071,              0.0083071,              0.0083071
                    173,                0.52727,                0.51738,                 0.8767,                0.81667,                0.99023,                0.84504,                 0.7747,                0.43703,                0.39313,                0.84445,              0.0082972,              0.0082972,              0.0082972
                    174,                0.51088,                0.50527,                0.87849,                0.81996,                0.99276,                0.84516,                0.77714,                0.43784,                0.39885,                0.84551,              0.0082873,              0.0082873,              0.0082873
                    175,                0.52542,                0.52204,                0.88558,                0.81917,                0.99132,                0.84838,                0.77834,                 0.4395,                0.38637,                0.84746,              0.0082774,              0.0082774,              0.0082774
                    176,                 0.5142,                0.51833,                0.86917,                0.81925,                0.99324,                 0.8422,                0.77555,                0.43008,                0.39223,                0.84227,              0.0082675,              0.0082675,              0.0082675
                    177,                0.51816,                0.51167,                0.87952,                0.81575,                0.98812,                0.84999,                0.77913,                0.43831,                0.39779,                0.84406,              0.0082576,              0.0082576,              0.0082576
                    178,                0.50989,                0.51988,                0.87776,                0.81758,                0.99324,                0.85624,                0.78567,                0.43772,                0.40029,                0.84519,              0.0082477,              0.0082477,              0.0082477
                    179,                0.51918,                0.52172,                0.88344,                0.81451,                0.99324,                0.85836,                0.78912,                0.43562,                0.39324,                0.84406,              0.0082378,              0.0082378,              0.0082378
                    180,                0.51825,                0.51447,                0.87656,                0.81285,                0.99277,                0.86525,                0.79595,                  0.444,                0.39401,                0.84598,              0.0082279,              0.0082279,              0.0082279
                    181,                0.50964,                0.53802,                0.87756,                0.81701,                 0.9924,                0.86647,                 0.7943,                  0.444,                0.39277,                0.84866,               0.008218,               0.008218,               0.008218
                    182,                0.51242,                0.51494,                0.86939,                0.81592,                0.99324,                0.85194,                0.78319,                0.43338,                0.39621,                0.84158,              0.0082081,              0.0082081,              0.0082081
                    183,                0.50501,                0.49596,                 0.8714,                0.81807,                0.99324,                0.85671,                0.78669,                0.43476,                0.38336,                0.84075,              0.0081982,              0.0081982,              0.0081982
                    184,                0.51523,                0.52279,                0.88356,                0.81679,                0.99324,                0.84349,                0.77525,                0.44485,                0.39282,                0.84515,              0.0081883,              0.0081883,              0.0081883
                    185,                0.51131,                0.51096,                0.87923,                0.81594,                0.99284,                0.85581,                0.78641,                 0.4408,                0.39235,                0.84558,              0.0081784,              0.0081784,              0.0081784
                    186,                0.51277,                0.50182,                0.87863,                0.81896,                0.99324,                0.85474,                0.78216,                0.44151,                 0.3816,                0.84586,              0.0081685,              0.0081685,              0.0081685
                    187,                0.50411,                0.49872,                0.86975,                0.82208,                0.98872,                0.86217,                0.78975,                0.43205,                0.38107,                0.84453,              0.0081586,              0.0081586,              0.0081586
                    188,                0.49874,                0.51696,                0.87172,                 0.8195,                0.99023,                0.85304,                0.78718,                0.42794,                0.38434,                0.84318,              0.0081487,              0.0081487,              0.0081487
                    189,                 0.5137,                0.50258,                0.86635,                0.82303,                0.98802,                0.85037,                0.78001,                0.43059,                0.39187,                0.84274,              0.0081388,              0.0081388,              0.0081388
                    190,                 0.5218,                0.51242,                0.88227,                0.82223,                0.98938,                0.85999,                0.79217,                0.42868,                0.39022,                 0.8416,              0.0081289,              0.0081289,              0.0081289
                    191,                 0.5191,                0.50646,                0.88285,                0.81855,                0.99147,                0.85572,                0.78988,                0.43183,                0.40309,                 0.8425,               0.008119,               0.008119,               0.008119
                    192,                0.51496,                0.51269,                0.87631,                0.81888,                 0.9931,                0.84833,                0.77862,                0.43045,                0.38217,                0.84138,              0.0081091,              0.0081091,              0.0081091
                    193,                0.52172,                0.52481,                0.87935,                0.82348,                0.98866,                0.85204,                 0.7806,                0.43506,                0.39076,                0.84408,              0.0080992,              0.0080992,              0.0080992
                    194,                0.51822,                0.51563,                0.87418,                0.81715,                0.99324,                0.86371,                0.79483,                0.42906,                0.38309,                0.84075,              0.0080893,              0.0080893,              0.0080893
                    195,                0.50006,                0.49468,                0.86908,                0.82329,                0.98722,                 0.8498,                0.78505,                0.43304,                0.38148,                0.84364,              0.0080794,              0.0080794,              0.0080794
                    196,                0.50955,                 0.5029,                0.86926,                 0.8213,                0.99179,                0.85248,                0.78682,                0.43105,                0.37727,                0.84143,              0.0080695,              0.0080695,              0.0080695
                    197,                0.50755,                0.50205,                0.87596,                0.82218,                0.99324,                0.84814,                0.78433,                0.42749,                0.37963,                0.84146,              0.0080596,              0.0080596,              0.0080596
                    198,                0.51126,                0.50684,                0.87111,                 0.8191,                0.99023,                0.84771,                 0.7775,                0.43411,                0.38942,                0.84404,              0.0080497,              0.0080497,              0.0080497
                    199,                 0.5033,                0.49583,                0.87352,                0.81578,                0.99178,                0.85532,                0.78635,                0.43167,                0.39305,                0.84309,              0.0080398,              0.0080398,              0.0080398
                    200,                0.50778,                0.51408,                0.87179,                0.81978,                0.99301,                0.85958,                0.79375,                0.43492,                0.39942,                0.84404,              0.0080299,              0.0080299,              0.0080299
                    201,                0.50423,                0.48761,                0.86871,                0.81846,                0.99182,                0.86012,                0.79419,                0.44039,                0.38538,                0.84438,                0.00802,                0.00802,                0.00802
                    202,                 0.5141,                 0.5025,                 0.8773,                0.81965,                0.99183,                0.86496,                0.79522,                0.43424,                0.38744,                 0.8413,              0.0080101,              0.0080101,              0.0080101
                    203,                0.50718,                0.50076,                0.87217,                0.81649,                0.99324,                0.87076,                0.80341,                0.43404,                0.38867,                 0.8416,              0.0080002,              0.0080002,              0.0080002
                    204,                0.50872,                0.49373,                0.87243,                0.82422,                0.98421,                0.85306,                0.78328,                0.43394,                0.39147,                0.84153,              0.0079903,              0.0079903,              0.0079903
                    205,                0.50592,                0.50286,                0.87339,                 0.8181,                0.99324,                 0.8553,                0.77997,                0.44267,                0.38901,                0.84235,              0.0079804,              0.0079804,              0.0079804
                    206,                0.52068,                0.50641,                0.88356,                0.81983,                0.99309,                0.85894,                0.78835,                0.44227,                 0.3828,                0.84393,              0.0079705,              0.0079705,              0.0079705
                    207,                0.49982,                 0.5038,                0.87165,                0.81976,                0.99069,                0.86507,                0.79156,                0.43926,                0.38428,                0.84399,              0.0079606,              0.0079606,              0.0079606
                    208,                0.49263,                0.49833,                0.87426,                0.82351,                0.98251,                0.85078,                0.78034,                0.44136,                0.39162,                0.84445,              0.0079507,              0.0079507,              0.0079507
                    209,                0.51229,                0.50234,                0.88141,                0.81708,                0.99315,                0.84807,                0.78526,                0.43015,                0.39772,                0.84302,              0.0079408,              0.0079408,              0.0079408
                    210,                0.50965,                0.48982,                0.88139,                0.82225,                0.98663,                0.84189,                 0.7763,                0.42961,                0.39485,                0.84127,              0.0079309,              0.0079309,              0.0079309
                    211,                0.50821,                0.51384,                0.87426,                0.81926,                0.98466,                0.84727,                0.78024,                 0.4312,                0.39713,                0.84139,               0.007921,               0.007921,               0.007921
                    212,                0.51145,                0.48147,                 0.8794,                0.82601,                0.98522,                0.85783,                0.79083,                 0.4306,                0.39002,                0.84165,              0.0079111,              0.0079111,              0.0079111
                    213,                0.50677,                0.49336,                0.86842,                0.81884,                0.98885,                0.86373,                0.79773,                0.43454,                0.38229,                0.84239,              0.0079012,              0.0079012,              0.0079012
                    214,                0.49703,                0.49529,                 0.8759,                0.81754,                0.99022,                0.84709,                0.78433,                 0.4284,                0.39124,                0.84111,              0.0078913,              0.0078913,              0.0078913
                    215,                0.48747,                0.48673,                0.86795,                0.81976,                0.98421,                0.84763,                0.77976,                0.42687,                0.39529,                0.83859,              0.0078814,              0.0078814,              0.0078814
                    216,                0.50149,                0.48864,                0.87465,                0.82082,                0.98595,                0.84121,                0.77752,                0.42365,                0.38455,                0.83775,              0.0078715,              0.0078715,              0.0078715
                    217,                 0.5139,                 0.5133,                 0.8791,                0.82075,                0.98211,                0.84644,                0.78234,                0.42853,                 0.3917,                0.83929,              0.0078616,              0.0078616,              0.0078616
                    218,                0.50156,                0.48877,                0.86888,                0.82386,                0.99023,                 0.8483,                0.78273,                0.42688,                0.38927,                0.83942,              0.0078517,              0.0078517,              0.0078517
                    219,                0.50014,                 0.5084,                0.87088,                 0.8277,                0.97818,                0.84558,                0.77914,                0.42195,                0.39169,                0.83645,              0.0078418,              0.0078418,              0.0078418
                    220,                0.49589,                0.48486,                0.87126,                0.82604,                0.98698,                0.84601,                 0.7828,                0.42169,                0.38336,                0.83629,              0.0078319,              0.0078319,              0.0078319
                    221,                0.49336,                0.47075,                0.87246,                 0.8151,                 0.9913,                0.85043,                0.78395,                0.42334,                0.38227,                0.83812,               0.007822,               0.007822,               0.007822
                    222,                0.50144,                0.49891,                0.87284,                0.81966,                0.98999,                0.85314,                0.79128,                0.42103,                0.38801,                0.83926,              0.0078121,              0.0078121,              0.0078121
                    223,                0.50788,                0.49736,                0.86881,                0.82015,                0.98722,                0.86755,                0.79968,                0.42717,                0.38256,                0.83901,              0.0078022,              0.0078022,              0.0078022
                    224,                0.50794,                0.50423,                0.87547,                0.81975,                0.98955,                0.86745,                0.80425,                 0.4216,                0.38193,                0.83754,              0.0077923,              0.0077923,              0.0077923
                    225,                0.49837,                0.48832,                0.87669,                0.81649,                0.99324,                0.86059,                0.79468,                0.42521,                0.38159,                0.83902,              0.0077824,              0.0077824,              0.0077824
                    226,                0.49955,                0.48848,                0.86962,                0.82076,                0.99324,                0.85603,                0.78934,                0.42727,                0.38371,                0.83988,              0.0077725,              0.0077725,              0.0077725
                    227,                0.49296,                0.48829,                0.86773,                0.81768,                0.99324,                 0.8608,                0.79251,                0.42827,                0.38758,                0.84136,              0.0077626,              0.0077626,              0.0077626
                    228,                0.49719,                0.49077,                0.87288,                0.81913,                0.99324,                0.85493,                0.78887,                 0.4296,                0.37942,                0.84107,              0.0077527,              0.0077527,              0.0077527
                    229,                 0.5069,                0.48916,                0.87563,                  0.818,                0.99324,                0.85553,                0.79039,                0.42515,                0.38464,                0.83961,              0.0077428,              0.0077428,              0.0077428
                    230,                0.50296,                0.50149,                0.87339,                 0.8152,                0.99324,                0.85893,                 0.7923,                0.42718,                0.38338,                0.84101,              0.0077329,              0.0077329,              0.0077329
                    231,                0.50574,                0.49186,                0.87626,                0.81632,                0.99228,                0.86758,                0.80198,                0.42623,                0.37839,                0.83974,               0.007723,               0.007723,               0.007723
                    232,                 0.4992,                0.48695,                0.86768,                0.81385,                0.99077,                0.86055,                0.79427,                0.42247,                0.38695,                0.83881,              0.0077131,              0.0077131,              0.0077131
                    233,                0.49933,                0.48283,                0.86502,                0.81779,                0.99324,                0.85331,                0.78843,                0.42504,                0.38233,                0.83939,              0.0077032,              0.0077032,              0.0077032
                    234,                 0.4998,                 0.4904,                0.86863,                0.81747,                0.98904,                0.85627,                0.79578,                0.41807,                0.38176,                0.83762,              0.0076933,              0.0076933,              0.0076933
                    235,                0.49866,                0.48055,                0.87492,                0.81864,                0.98722,                0.85479,                0.78988,                 0.4215,                0.37974,                0.83792,              0.0076834,              0.0076834,              0.0076834
                    236,                0.49122,                 0.4842,                0.86909,                0.81192,                0.99324,                0.86059,                0.79667,                0.42241,                0.38791,                0.83849,              0.0076735,              0.0076735,              0.0076735
                    237,                0.49146,                   0.49,                0.86892,                0.81757,                0.99324,                0.86902,                0.80182,                0.43032,                0.38481,                0.84198,              0.0076636,              0.0076636,              0.0076636
                    238,                0.50299,                 0.5037,                 0.8756,                0.82741,                0.98119,                0.85357,                0.78949,                0.42167,                0.38918,                0.83867,              0.0076537,              0.0076537,              0.0076537
                    239,                0.49594,                0.47846,                0.87169,                0.83203,                0.98119,                0.86115,                0.79569,                0.42334,                0.37965,                 0.8395,              0.0076438,              0.0076438,              0.0076438
                    240,                0.50213,                0.49665,                0.86963,                 0.8246,                0.97645,                0.86523,                0.79956,                0.42181,                0.37783,                0.83773,              0.0076339,              0.0076339,              0.0076339
                    241,                0.49861,                0.48229,                0.86684,                0.82184,                0.98421,                0.85752,                0.79315,                0.42027,                0.38178,                0.83629,               0.007624,               0.007624,               0.007624
                    242,                0.50522,                0.49719,                0.87439,                 0.8211,                0.98421,                0.85802,                0.79423,                0.42266,                0.39063,                0.83701,              0.0076141,              0.0076141,              0.0076141
                    243,                0.49649,                0.49876,                0.86716,                0.81968,                0.98722,                0.86133,                0.79747,                0.42311,                0.39447,                0.83765,              0.0076042,              0.0076042,              0.0076042
                    244,                0.49267,                0.49903,                0.87179,                0.82254,                0.98154,                0.85914,                0.79191,                0.41685,                0.38375,                0.83657,              0.0075943,              0.0075943,              0.0075943
                    245,                0.49577,                0.49097,                0.86958,                0.83002,                0.97924,                0.86332,                0.80148,                0.41615,                0.37901,                0.83559,              0.0075844,              0.0075844,              0.0075844
